file_name,left,right,top,bottom,min_value,max_value,pixel_horiz,pixel_vert,number_of_nan
4313-131_reproject,-5174045.575046179,-5173448.385324596,-2697648.551876022,-2698297.14803884,-1.8552963,56.57763,1093,1187,0
4313-163_reproject,-5174045.580636722,-5173448.320701782,-2699545.9422263172,-2700194.6146465,-2.436703,15.720206,1093,1187,0
4313-413_reproject,-5172885.945864434,-5172289.792939758,-2700835.121779632,-2701459.71502732,0.0,29.243547,1091,1143,0
4313-142_reproject,-5175785.017926742,-5175187.784602026,-2698913.463171911,-2699562.106691245,-1.942165,22.21181,1093,1187,0
4313-311_reproject,-5176364.827726054,-5175767.548646389,-2700178.4665238806,-2700827.159736777,-1.1073934,18.441265,1093,1187,0
4313-314_reproject,-5175785.019509353,-5175187.715930203,-2700811.0033474676,-2701459.7231687787,-1.6132901,21.167435,1093,1187,0
4313-212_reproject,-5172306.1435710965,-5171709.497566985,-2697648.5578572936,-2698297.157454797,-0.7637375,20.038897,1092,1187,0
4313-132_reproject,-5173465.769147411,-5172868.5783674065,-2697648.5567399166,-2698297.1540522655,0.0,50.93647,1093,1187,0
3336-241_reproject,-5193171.931244891,-5193167.546449152,-2719780.832420184,-2719787.9577132603,-0.50286037,3.4220726,9,14,0
3336-163_reproject,-5194918.879563714,-5194339.265474557,-2719919.6650920943,-2720448.9255493325,-0.2767822,12.996277,1060,968,0
3336-362_reproject,-5194339.073987094,-5193740.480899232,-2721698.382472059,-2722349.550982093,-1.2502792,28.3519,1094,1190,0
3336-344_reproject,-5196658.316202892,-5196059.702875674,-2722331.2382918918,-2722982.976498104,-3.0056958,12.835997,1094,1191,0
3336-253_reproject,-5192312.481157999,-5192001.350151585,-2719817.769018806,-2720017.3521775776,0.0,12.696543,570,366,0
3336-221_reproject,-5192287.722075716,-5192001.431095895,-2717902.1539282375,-2718549.325108674,-1.1577954,11.746782,523,1181,0
3336-332_reproject,-5194339.061362471,-5194054.943809947,-2720467.899519473,-2721078.9168042447,-1.5279318,12.137276,519,1115,0
3336-363_reproject,-5194918.886888371,-5194320.271328292,-2722331.775896945,-2722982.968852969,-1.8897607,18.481041,1094,1190,0
3336-141_reproject,-5197238.124320606,-5196639.630544901,-2719164.5121497163,-2719816.120194629,-2.303085,17.298996,1094,1191,0
3336-254_reproject,-5192014.596604121,-5191572.020398543,-2719798.4609084604,-2719991.883102009,-0.07423584,9.793606,811,355,0
3336-341_reproject,-5197238.134630156,-5196639.546205571,-2721697.8397725136,-2722349.550866069,-2.3454854,21.305803,1094,1191,0
3336-244_reproject,-5193170.493553326,-5192853.287553602,-2719798.1801648666,-2719849.5009290217,0.0,9.550932,582,95,0
3336-251_reproject,-5192592.800119205,-5192001.089065256,-2719164.8589547104,-2719730.2960673193,-2.526551,19.016645,1082,1034,0
3336-132_reproject,-5194339.055665187,-5193740.604508143,-2717898.5389623875,-2718549.5530755846,-2.8645525,24.145243,1094,1190,0
3336-321_reproject,-5196078.504637073,-5195618.371972781,-2720525.5360984583,-2721080.981957496,-1.0223722,16.943253,841,1015,0
3336-441_reproject,-5193759.25814502,-5193595.69675035,-2721737.362245058,-2722344.4055420537,-0.6306475,14.394116,299,1107,0
3336-354_reproject,-5195498.701424966,-5194900.0856637275,-2722331.2373612956,-2722982.9782175384,-1.4122864,19.221254,1094,1191,0
3336-234_reproject,-5190858.724568711,-5190261.712334201,-2718531.926773106,-2719053.9704685444,-2.1472769,19.031324,1092,955,0
3336-142_reproject,-5196658.308263214,-5196059.813264094,-2719164.505140052,-2719816.114516953,-2.0487268,17.97394,1094,1191,0
3336-131_reproject,-5194680.5939564025,-5194320.449208268,-2717926.759089015,-2718542.34897053,-1.4835932,14.249429,658,1124,0
3336-214_reproject,-5193177.7098405855,-5192582.334099913,-2718664.7368848203,-2719032.67799912,0.0,13.085625,1090,674,0
3336-112_reproject,-5196658.309554789,-5196189.230794961,-2718092.844749107,-2718547.6924147056,0.0,15.120977,858,832,0
3336-212_reproject,-5193174.326260653,-5193030.227942354,-2717898.4941798653,-2718100.6701473654,0.0,18.279512,264,370,0
3336-334_reproject,-5194339.066900212,-5193904.420672444,-2721065.0132121393,-2721713.9679834857,-0.5822266,14.115076,794,1185,0
3336-134_reproject,-5194308.137440093,-5193740.263015793,-2718531.693478928,-2718840.4991090815,-1.9883004,16.200808,1040,566,0
3336-242_reproject,-5193172.174361119,-5192581.95021587,-2719198.0766322366,-2719815.6766654844,-0.5905127,12.640297,1079,1129,0
3336-233_reproject,-5191439.999131729,-5190841.518364076,-2718531.7753117583,-2719182.27407843,-1.8839827,22.439089,1094,1189,0
3336-133_reproject,-5194450.2889148425,-5194442.644048853,-2718539.2616787003,-2718540.8998642694,0.0,5.6684566,15,4,0
